86;26230,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
83;25315,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
83,8;25559,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
87,4;26657,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
97,7;29798,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
92,3;28151,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
89,1;27175,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
87,4;26657,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
87,2;26596,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
91,3;27846,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
98,6;30073,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
90,4;27572,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
90;27450,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
90,1;27480,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
89,1;27175,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
90,9;27724,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
95,9;29249,5;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
100;30500,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
105;32025,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
112;34160,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
109;33245,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
95;28975,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
92,2;28121,0;['cbb0', 'cbaa', 'ca89', 'ca88', 'ca89', 'ca8f']
