86;6966,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
83;6723,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
83,8;6787,80029;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
87,4;7079,4;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
97,7;7913,69971;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
92,3;7476,30029;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
89,1;7217,1;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
87,4;7079,4;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
87,2;7063,19971;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
91,3;7395,30029;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
98,6;7986,6;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
90,4;7322,4;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
90;7290,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
90,1;7298,1;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
89,1;7217,1;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
90,9;7362,9;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
95,9;7767,9;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
100;8100,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
105;8505,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
112;9072,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
109;8829,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
95;7695,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
92,2;7468,19971;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
91,6;7419,6;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
84,9;6876,9;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
82,5;6682,5;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
82,5;6682,5;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
81,6;6609,6;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
81,1;6569,1;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
81,7;6617,69971;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
82,3;6666,30029;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
82,8;6706,80029;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
83;6723,0;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
82,9;6714,9;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
81,8;6625,80029;['cf90', 'cf8a', 'cea9', 'cea8', 'cea9', 'ceaf']
